,Compartment,MPform,tfrag_gen_d
0,Ocean_Surface_Water,freeMP,36.5
1,Ocean_Surface_Water,heterMP,3650.0
2,Ocean_Surface_Water,biofMP,73.0
3,Ocean_Surface_Water,heterBiofMP,7300.0
4,Ocean_Mixed_Water,freeMP,365.0
5,Ocean_Mixed_Water,heterMP,36500.0
6,Ocean_Mixed_Water,biofMP,730.0
7,Ocean_Mixed_Water,heterBiofMP,73000.0
8,Ocean_Column_Water,freeMP,365.0
9,Ocean_Column_Water,heterMP,36500.0
10,Ocean_Column_Water,biofMP,730.0
11,Ocean_Column_Water,heterBiofMP,73000.0
12,Coast_Surface_Water,freeMP,36.5
13,Coast_Surface_Water,heterMP,3650.0
14,Coast_Surface_Water,biofMP,73.0
15,Coast_Surface_Water,heterBiofMP,7300.0
16,Coast_Column_Water,freeMP,365.0
17,Coast_Column_Water,heterMP,36500.0
18,Coast_Column_Water,biofMP,730.0
19,Coast_Column_Water,heterBiofMP,73000.0
20,Surface_Freshwater,freeMP,36.5
21,Surface_Freshwater,heterMP,3650.0
22,Surface_Freshwater,biofMP,73.0
23,Surface_Freshwater,heterBiofMP,7300.0
24,Bulk_Freshwater,freeMP,365.0
25,Bulk_Freshwater,heterMP,36500.0
26,Bulk_Freshwater,biofMP,730.0
27,Bulk_Freshwater,heterBiofMP,73000.0
28,Sediment_Freshwater,freeMP,3650.0
29,Sediment_Freshwater,heterMP,365000.0
30,Sediment_Freshwater,biofMP,7300.0
31,Sediment_Freshwater,heterBiofMP,730000.0
32,Sediment_Ocean,freeMP,3650.0
33,Sediment_Ocean,heterMP,365000.0
34,Sediment_Ocean,biofMP,7300.0
35,Sediment_Ocean,heterBiofMP,730000.0
36,Sediment_Coast,freeMP,3650.0
37,Sediment_Coast,heterMP,365000.0
38,Sediment_Coast,biofMP,7300.0
39,Sediment_Coast,heterBiofMP,730000.0
40,Urban_Soil_Surface,freeMP,365.0
41,Urban_Soil_Surface,heterMP,36500.0
42,Urban_Soil_Surface,biofMP,730.0
43,Urban_Soil_Surface,heterBiofMP,73000.0
44,Urban_Soil,freeMP,3650.0
45,Urban_Soil,heterMP,365000.0
46,Urban_Soil,biofMP,7300.0
47,Urban_Soil,heterBiofMP,730000.0
48,Background_Soil_Surface,freeMP,365.0
49,Background_Soil_Surface,heterMP,36500.0
50,Background_Soil_Surface,biofMP,730.0
51,Background_Soil_Surface,heterBiofMP,73000.0
52,Background_Soil,freeMP,3650.0
53,Background_Soil,heterMP,365000.0
54,Background_Soil,biofMP,7300.0
55,Background_Soil,heterBiofMP,730000.0
56,Agricultural_Soil_Surface,freeMP,365.0
57,Agricultural_Soil_Surface,heterMP,36500.0
58,Agricultural_Soil_Surface,biofMP,730.0
59,Agricultural_Soil_Surface,heterBiofMP,73000.0
60,Agricultural_Soil,freeMP,3650.0
61,Agricultural_Soil,heterMP,365000.0
62,Agricultural_Soil,biofMP,7300.0
63,Agricultural_Soil,heterBiofMP,730000.0
64,Air,freeMP,NAN
65,Air,heterMP,NAN
66,Air,biofMP,NAN
67,Air,heterBiofMP,NAN
